"LLAVE_BUSQUEDA"¬"TWEET"¬"USUARIO"¬"FECHA"¬"LUGAR"¬"COORDENADAS"¬"GEO"
"PETRO"¬"@msilvaazul No. esta cepeda las FARC Petro."¬"ferchin0407"¬13/06/19 10:39:22,012854000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Listo entonces demande a los que estan sentados alla en el congreso del partido FARC, los cuales hici.. https://t.co/Ea4shf66s9"¬"pabfer_1308"¬13/06/19 10:43:03,622730000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Mucha fumaton"¬"pepochacon"¬13/06/19 10:43:13,802845000 AM¬""¬""¬""
"PETRO"¬"@Natrioshka Uuu.. mas grave es votar por Petro y botar penales."¬"Omyjuly1"¬13/06/19 10:48:29,673520000 AM¬""¬""¬""
"PETRO"¬"@lasprii7 Bueno mijo. Ya ese discurso me lo se. Pobrecito Petro que nadie lo quiere. Si el dice que todas las obras.. https://t.co/0rQiuxTlQM"¬"SntosFer"¬13/06/19 10:48:44,066196000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Que pendejo este idiota, las obras se cuenta CUANDO SE ENTREGAN usted lo unico que hace es alardear,.. https://t.co/mw67gMl31k"¬"JuanDa0505"¬13/06/19 10:35:46,803828000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Y sigue ?"¬"eltigerage"¬13/06/19 10:36:04,951587000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Ay desen un pico "¬"Musicleta"¬13/06/19 10:39:24,084226000 AM¬""¬""¬""
"PETRO"¬"@camilotorresri1 Eso he visto, el petrismo de Cartagena esta demasiado enojado con Petro por ese respaldo. Pero bue.. https://t.co/HYloBO9lQg"¬"SanSeSeb"¬13/06/19 10:39:27,048454000 AM¬""¬""¬""
"PETRO"¬"@MaPaulaFonseca @ELTIEMPO @petrogustavo @EnriquePenalosa Toda la razon!!"¬"polguerrodri"¬13/06/19 10:43:31,094307000 AM¬""¬""¬""
"PETRO"¬"@petrogustavo Verguenza para el reyezuelo, que todos, pocos se salvan, estan en la guandoca"¬"Ernesto97335350"¬13/06/19 10:43:31,298670000 AM¬""¬""¬""
"PETRO"¬"@jucagogu @jaimeflozada prefiero ser un petronero honesto y trabajador y no un chupa asses, ladron, maton, asesino.. https://t.co/07Vrow8S8l"¬"Belgrano744"¬13/06/19 10:48:55,056184000 AM¬""¬""¬""
"PETRO"¬"@Monyrica @VickyDavilaW Asi es lo quieren excluir de todo, ademas Angela Garzon no es candidata, la ingresan a ella.. https://t.co/mU6ZgCNjmL"¬"Gaboss55"¬13/06/19 10:49:00,434262000 AM¬""¬""¬""
